Chevrolet,Blazer,Midsize Crossover SUV,35400,228,258,2.0 I4,25 MPG,Turbocharged
Chevrolet,Blazer EV,EV Midsize Crossover SUV,48800,220,243,Electric,279 Miles of Range,------
Chevrolet,Colorado,Midsize Pickup,29800,237,260,2.7 I4,22 MPG,Turbocharged
Chevrolet,Equinox,Compact SUV,29995,175,203,1.5 I4,27 MPG,Turbocharged
Chevrolet,Equinox EV,EV Compact Crossover SUV,41900,220,243,Electric,319 Miles of Range,------
Chevrolet,Silverado 1500,Fullsize Pickup,37000,310,430,2.7 I4,19 MPG,Turbocharged
Chevrolet,Silverado 2500,3/4 Ton Pickup,44400,401,464,6.6 V8,------,Naturally Aspirated
Chevrolet,Suburban,Fullsize SUV,62000,355,383,5.3 V8,16 MPG,Naturally Aspirated
Chevrolet,Tahoe,Fullsize SUV,59000,355,383,5.3 V8,17 MPG,Naturally Aspirated
Chevrolet,Trailblazer,Subcompact Crossover SUV,23100,155,174,1.3 I3,31 MPG,Turbocharged
Chevrolet,Trax,Subcompact Crossover SUV,20500,137,162,1.2 I3,30 MPG,Turbocharged
Chevrolet,Traverse,Midsize SUV,37600,328,326,2.5 I4,21 MPG,Turbocharged
Chevrolet,Malibu,Midsize Sedan,25800,163,184,1.5 I4,31 MPG,Turbocharged
Chrysler,Pacifica,Minivan,42450,287,262,3.6 V6,22 MPG,Naturally Aspirated
Dodge,Durango,Midsize SUV,41995,295,260,3.6 V6,20 MPG,Naturally Aspirated
Dodge,Hornet,Compact Crossover SUV,31585,268,295,2.0 I4,24 MPG,Turbocharged
Ford,Bronco,Midsize SUV,37995,300,325,2.3 I4,20 MPG,Turbocharged
Ford,Bronco Sport,Compact Crossover SUV,29995,181,190,1.5 I3,26 MPG,Turbocharged
Ford,Edge,Midsize Crossover SUV,38465,250,280,2.0 I4,23 MPG,Turbocharged
Ford,Escape,Compact Crossover SUV,29150,180,199,1.5 I3,30 MPG,Turbocharged
Ford,Expedition,Fullsize SUV,62000,400,480,3.5 V6,19 MPG,Twin Turbocharged
Ford,Explorer,Midsize SUV,39755,300,310,2.3 I4,23 MPG,Turbocharged
Ford,F-150,Fullsize Pickup,37450,325,400,2.7 V6,22 MPG,Twin Turbocharged
Ford,F-150 Lightning,EV Fullsize Pickup,62995,452,775,Electric,240 Miles of Range,------
Ford,F-250,3/4 Ton Pickup,44970,405,445,6.8 V8,------,Naturally Aspirated
Ford,Maverick,Compact Pickup,26995,191,155,2.5 Hybrid I4,37 MPG,Naturally Aspirated
Ford,Mustang,Coupe,31920,315,350,2.3 I4,26 MPG,Turbocharged
Ford,Mustang Mach-E,EV Compact Crossover SUV,36495,264,387,Electric,260 Miles of Range,------
Ford,Ranger,Midsize Pickup,33080,270,310,2.3 I4,22 MPG,Turbocharged
Honda,Accord,Midsize Sedan,28295,192,192,1.5 I4,32 MPG,Turbocharged
Honda,Civic,Compact Sedan,24250,150,133,2.0 I4,36 MPG,Naturally Aspirated
Honda,Civic Hatchback,Hatchback,27450,150,133,2.0 I4,34 MPG,Naturally Aspirated
Honda,CRV,Compact Crossover SUV,30100,190,179,1.5 I4,31 MPG,Naturally Aspirated
Honda,HRV,Subcompact Crossover SUV,25400,158,138,2.0 I4,28 MPG,Naturally Aspirated
Honda,Odyssey,Minivan,42220,280,262,3.5 V6,22 MPG,Naturally Aspirated
Honda,Passport,Midsize SUV,44750,285,262,3.5 V6,21 MPG,Naturally Aspirated
Honda,Pilot,Midsize Crossover SUV,40200,285,262,3.5 V6,22 MPG,Naturally Aspirated
Honda,Prologue,EV SUV,47400,220,243,Electric,308 Miles of Range,------
